# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 9501 4 5 50 1883330 1 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -9501 4 5 50 1878526 1 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -9501 5 5 50 2800523 1 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -9501 5 5 50 2797016 1 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -9501 8 5 50 1740116 1 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -9501 8 5 50 1728375 1 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -9501 9 5 50 2915066 1 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -9501 9 5 50 2912721 1 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_FIRST_OCCURRENCE 13765 2 16 50 1331668 1 /openedx/staticfiles/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -13765 2 16 50 1342844 1 /openedx/staticfiles/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -13765 3 16 50 1465719 1 /openedx/staticfiles/studio/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -13765 3 16 50 1481161 1 /openedx/staticfiles/studio/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_FIRST_OCCURRENCE 7504 6 19 50 1728208 1 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -7504 6 19 50 1740150 1 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
